(6629454818, 3747)
(6629454810, 4504)
(6629454809, 4332)
(6629454800, 2213)
(6629454714, 3265)
(6629454713, 4317)
(6629454711, 2171)
(6629454613, 2435)
(6629454605, 3034)
(6629454604, 3718)
(6629454602, 1896)
(6629454601, 3230)
(6629454519, 2887)
(6629454518, 1569)
(6629454511, 2825)
(6629454509, 4010)
(6629454500, 3626)
(6629454411, 3012)
(6629454410, 796)
(6629454407, 3689)
(6629454404, 3446)
(6629454314, 2712)
(6629454312, 2072)
(6629454218, 2367)
(6629454211, 2085)
(6629454116, 3377)
(6629454111, 3548)
(6629454110, 2453)
(6629454109, 3107)
(6629454107, 2125)
(6629454100, 3683)
(6629454012, 2826)
(6629454011, 2166)
(6629454001, 3801)
(6629454000, 2005)
(6629453917, 4582)
(6629453915, 3899)
(6629453905, 3050)
(6629453818, 1853)
(6629453817, 2322)
(6629453816, 2428)
(6629453815, 2201)
(6629453803, 3501)
(6629453802, 2476)
(6629453717, 2227)
(6629453713, 3006)
(6629453712, 2754)
(6629453702, 2944)
(6629453701, 3122)
(6629453609, 1978)
(6629453608, 1800)
(6629453517, 3196)
(6629453515, 2356)
(6629453510, 2484)
(6629453509, 1630)
(6629453508, 2656)
(6629453501, 3870)
(6629453408, 3222)
(6629453315, 5473)
(6629453308, 3318)
(6629453305, 1118)
(6629559819, 3347)
(6629559809, 4024)
(6629559808, 2646)
(6629559711, 3657)
(6629559709, 3426)
(6629559701, 3720)
(6629559618, 4470)
(6629559615, 4038)
(6629559614, 3479)
(6629559612, 2885)
(6629559515, 1644)
(6629559514, 2871)
(6629559508, 2082)
(6629559507, 3482)
(6629559502, 3500)
(6629559500, 3723)
(6629559419, 2887)
(6629559418, 3362)
(6629559417, 3420)
(6629559403, 2237)
(6629559402, 3632)
(6629559315, 3214)
(6629559313, 2303)
(6629559218, 3983)
(6629559217, 2934)
(6629559208, 1821)
(6629559207, 3326)
(6629559206, 2063)
(6629559113, 4039)
(6629559100, 3297)
(6629559019, 4735)
(6629559018, 2385)
(6629559001, 3709)
(6629558904, 2363)
(6629558815, 3605)
(6629558814, 1789)
(6629558810, 3391)
(6629558800, 4634)
(6629558713, 5079)
(6629558712, 2704)
(6629558711, 3261)
(6629558710, 2885)
(6629558618, 2603)
(6629558617, 3055)
(6629558616, 4572)
(6629558615, 3124)
(6629558518, 3386)
(6629558511, 2928)
(6629558508, 3814)
(6629558417, 3624)
(6629558406, 4600)
(6629558404, 4021)
(6629558403, 2164)
(6629558402, 4336)
(6629558400, 2313)
(6629558318, 3894)
(6629558317, 877)
(6629558310, 4010)
(6629558107, 3487)
(6629558019, 2938)
(6629558018, 3265)
(6629558017, 4122)
(6629558016, 3566)
(6629558002, 3175)
(6629557914, 3557)
(6629669819, 3317)
(6629669818, 961)
(6629669809, 3674)
(6629669805, 3706)
(6629669802, 3150)
(6629669714, 3945)
(6629669711, 4583)
(6629669710, 3502)
(6629669708, 1820)
(6629669617, 2887)
(6629669515, 2964)
(6629669511, 2196)
(6629669501, 3361)
(6629669402, 2967)
(6629669401, 3435)
(6629669319, 3567)
(6629669309, 2204)
(6629669307, 4021)
(6629669305, 3188)
(6629669304, 4002)
(6629669217, 4307)
(6629669216, 3018)
(6629669200, 1795)
(6629669115, 2672)
(6629669111, 1841)
(6629669110, 3916)
(6629669108, 3217)
(6629669107, 1793)
(6629669012, 3034)
(6629669003, 2995)
(6629669002, 2793)
(6629668919, 963)
(6629668917, 3409)
(6629668916, 2721)
(6629668906, 3092)
(6629668903, 4266)
(6629668902, 5039)
(6629668819, 1428)
(6629668719, 1947)
(6629668718, 2615)
(6629668717, 2981)
(6629668700, 2417)
(6629668600, 5700)
(6629668508, 2825)
(6629668506, 2019)
(6629668504, 3126)
(6629668500, 4195)
(6629668419, 3554)
(6629668418, 3939)
(6629668410, 1962)
(6629668409, 2870)
(6629668408, 3861)
