(6939992414, 2932)
(6939129801, 3783)
(6948664218, 2080)
(6936814506, 3059)
(6931735817, 4420)
(6945189108, 3361)
(6932536807, 1139)
(6937764007, 3928)
(6940673818, 1592)
(6950416004, 2706)
(6941120919, 4407)
(6936368906, 4289)
(6953060009, 1413)
(6939516903, 3143)
(6934110508, 3371)
(6935714619, 4872)
(6940675101, 4246)
(6950179411, 2144)
(6936368111, 3267)
(6933339301, 3140)
(6934319108, 4803)
(6940349000, 3566)
(6952168916, 2804)
(6951693107, 756)
(6937348407, 368)
(6944089416, 3548)
(6930815419, 3289)
(6952109401, 4481)
(6937468009, 2343)
(6945041211, 3022)
(6934764415, 2166)
(6940259312, 3258)
(6946080308, 6862)
(6933754101, 2836)
(6932003211, 2698)
(6933815002, 5281)
(6948901208, 1658)
(6946792511, 3031)
(6935507708, 3375)
(6937674813, 2973)
(6933963013, 3601)
(6941387203, 3342)
(6950624900, 3503)
(6932032319, 2989)
(6932478116, 3212)
(6950149708, 3871)
(6946972106, 3516)
(6940586211, 4483)
(6950208215, 5033)
(6941952010, 4093)
(6934377416, 2695)
(6948041209, 1442)
(6935269215, 2607)
(6938328119, 3083)
(6935062209, 2967)
(6942160608, 1315)
(6936517600, 3554)
(6940823619, 1592)
(6933754803, 3643)
(6948366718, 4842)
(6944982117, 356)
(6934289408, 2260)
(6939547112, 4138)
(6941238618, 2252)
(6938031906, 1718)
(6935507309, 2703)
(6953891419, 2545)
(6947655216, 3243)
(6945397610, 3049)
(6951485303, 3529)
(6933369610, 1333)
(6948189217, 2877)
(6948930710, 3165)
(6934942217, 4570)
(6953415913, 3689)
(6941358901, 3053)
(6943081004, 2699)
(6951782708, 1953)
(6944774101, 2893)
(6943050813, 3383)
(6936012511, 2959)
(6947713804, 3246)
(6934705902, 3013)
(6938418500, 1611)
(6934289712, 3583)
(6946614615, 2765)
(6945694208, 3824)
(6953802918, 1985)
(6940673719, 2255)
(6941862208, 4036)
(6936487814, 3334)
(6934616518, 1426)
(6949079610, 2522)
(6931942805, 3749)
(6949465318, 740)
(6952702804, 3634)
(6947298801, 3756)
